=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
  57 |      0 |    是     |   0.9402 | {'Con': [1, 3, 4], 'Neu': [2], 'Rad': [0]}
  58 |      1 |    是     |   0.9357 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  59 |      1 |    是     |   0.9368 | {'Con': [0, 2, 3], 'Neu': [1, 4], 'Rad': []}
  60 |      0 |    是     |   0.9182 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  61 |      0 |    是     |   0.9243 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  62 |      0 |    是     |   0.9207 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  63 |      0 |    是     |   0.9377 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
  64 |      1 |    是     |   0.9189 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  65 |      0 |    是     |   0.9234 | {'Con': [0, 1, 2], 'Neu': [3], 'Rad': [4]}
  66 |      1 |    是     |   0.9243 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
  67 |      0 |    是     |   0.9230 | {'Con': [1, 2, 4], 'Neu': [], 'Rad': [0, 3]}
  68 |      3 |    是     |   0.9208 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
  69 |      1 |    是     |   0.9308 | {'Con': [1, 2, 3], 'Neu': [0], 'Rad': [4]}
  70 |      1 |    是     |   0.9348 | {'Con': [0, 2, 3], 'Neu': [1, 4], 'Rad': []}
  71 |      1 |    是     |   0.9256 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  72 |      0 |    是     |   0.9318 | {'Con': [0, 2, 4], 'Neu': [1], 'Rad': [3]}
  73 |      0 |    是     |   0.9080 | {'Con': [0, 1, 4], 'Neu': [2], 'Rad': [3]}
  74 |      1 |    是     |   0.9308 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  75 |      0 |    是     |   0.9324 | {'Con': [0, 4], 'Neu': [2], 'Rad': [1, 3]}
  76 |      5 |    是     |   0.9354 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
  77 |      0 |    是     |   0.9277 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  78 |      3 |    是     |   0.9326 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  79 |      0 |    是     |   0.9230 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  80 |      1 |    是     |   0.9255 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  81 |      0 |    是     |   0.9089 | {'Con': [1, 4], 'Neu': [], 'Rad': [0, 2, 3]}
  82 |      2 |    是     |   0.9173 | {'Con': [0, 2, 4], 'Neu': [1, 3], 'Rad': []}
  83 |      0 |    是     |   0.9213 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
  84 |      0 |    是     |   0.9434 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  85 |      1 |    是     |   0.9266 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  86 |      1 |    是     |   0.9146 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  87 |      1 |    是     |   0.9427 | {'Con': [1, 2, 4], 'Neu': [], 'Rad': [0, 3]}
  88 |      1 |    是     |   0.9340 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  89 |      0 |    是     |   0.9332 | {'Con': [0, 1, 2], 'Neu': [4], 'Rad': [3]}
  90 |      4 |    是     |   0.9345 | {'Con': [1, 2, 4], 'Neu': [3], 'Rad': [0]}
  91 |      2 |    是     |   0.9226 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
  92 |      4 |    是     |   0.9293 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  93 |      0 |    是     |   0.9224 | {'Con': [2, 3, 4], 'Neu': [], 'Rad': [0, 1]}
  94 |      0 |    是     |   0.9322 | {'Con': [2, 3, 4], 'Neu': [0], 'Rad': [1]}
  95 |      3 |    是     |   0.9311 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
  96 |      0 |    是     |   0.9323 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  97 |      0 |    是     |   0.9369 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  98 |      0 |    是     |   0.9325 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  99 |      1 |    是     |   0.9390 | {'Con': [0, 1], 'Neu': [3], 'Rad': [2, 4]}
 100 |      2 |    是     |   0.9333 | {'Con': [0, 4], 'Neu': [3], 'Rad': [1, 2]}
 101 |      0 |    是     |   0.9187 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 102 |      2 |    是     |   0.9236 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 103 |      2 |    是     |   0.9190 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 104 |      0 |    是     |   0.9196 | {'Con': [1, 4], 'Neu': [2, 3], 'Rad': [0]}
 105 |      1 |    是     |   0.9261 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 106 |      0 |    是     |   0.9173 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 107 |      1 |    是     |   0.9265 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 108 |      0 |    是     |   0.9281 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 109 |      0 |    是     |   0.9115 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 110 |      4 |    是     |   0.9345 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 111 |      1 |    是     |   0.9290 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
 112 |      0 |    是     |   0.9123 | {'Con': [1, 2, 4], 'Neu': [], 'Rad': [0, 3]}
 113 |      3 |    是     |   0.9347 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 114 |      0 |    是     |   0.9267 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
 115 |      0 |    是     |   0.9351 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 116 |      1 |    是     |   0.9412 | {'Con': [0, 1, 4], 'Neu': [2], 'Rad': [3]}
 117 |      3 |    是     |   0.9332 | {'Con': [0, 2, 3, 4], 'Neu': [1], 'Rad': []}
 118 |      1 |    是     |   0.9403 | {'Con': [4], 'Neu': [0, 3], 'Rad': [1, 2]}
 119 |      1 |    是     |   0.9269 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
 120 |      0 |    是     |   0.9569 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 121 |      0 |    是     |   0.9358 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
 122 |      0 |    是     |   0.9197 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 123 |      1 |    是     |   0.9275 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 124 |      0 |    是     |   0.9432 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 125 |      0 |    是     |   0.9286 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 126 |      0 |    是     |   0.9270 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 127 |      2 |    是     |   0.9226 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
 128 |      1 |    是     |   0.9380 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 129 |      3 |    是     |   0.9290 | {'Con': [2, 3, 4], 'Neu': [], 'Rad': [0, 1]}
 130 |      2 |    是     |   0.9309 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 131 |      0 |    是     |   0.9187 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 132 |      0 |    是     |   0.9263 | {'Con': [3, 4], 'Neu': [1, 2], 'Rad': [0]}
