run_id,initial_consensus,final_consensus,crp_iterations,consensus_improvement,weight_scheme_1,weight_scheme_2,weight_scheme_3,weight_scheme_4,weight_scheme_5,weight_scheme_6,ranking,dm_weight_1,dm_weight_2,dm_weight_3,dm_weight_4,dm_weight_5
0,0.9271047356570226,0.9271047356570226,0,0.0,0.15532464503682547,0.2827351008298236,0.21351428757323776,0.12360195176424725,0.09929080124794457,0.12553321354792146,"[2, 3, 1, 6, 4, 5]",0.2797801659171352,0.238047217762686,0.19799622094539152,0.1462981353622052,0.13787826001258205
1,0.9275498549663361,0.9275498549663361,0,0.0,0.13611730967562122,0.25743360330019144,0.22084928492078956,0.14486519180542745,0.11639183109450348,0.12434277920346673,"[2, 3, 4, 1, 6, 5]",0.2801801992467786,0.23581189669671213,0.19836405687451072,0.14707615752586053,0.13856768965613786
2,0.9290457435063872,0.9290457435063872,0,0.0,0.14140468695943656,0.277604408338514,0.21851703960494817,0.13269587263481405,0.10562205859796656,0.12415593386432074,"[2, 3, 1, 4, 6, 5]",0.28142409624019865,0.23804881783546297,0.19762827441818712,0.14531897220640821,0.13757983929974316
3,0.9125683992812905,0.9125683992812905,0,0.0,0.1406110181186661,0.28590216379852484,0.210434300175362,0.12116833014230743,0.1012731696464734,0.14061101811866605,"[2, 3, 1, 6, 4, 5]",0.27832276282247537,0.238452054358681,0.19965905914624799,0.1468352325289066,0.13673089114368894
4,0.9288758310070148,0.9288758310070148,0,0.0,0.1443791871270371,0.28059675540516793,0.22165429367778872,0.12266527024204288,0.10135721366602331,0.12934727988194,"[2, 3, 1, 6, 4, 5]",0.2805149256503264,0.2384931542460235,0.19776145318636995,0.14569173263452695,0.1375387342827532
5,0.9173557665947115,0.9173557665947115,0,0.0,0.13185429280398422,0.25469002735305435,0.24266762658906404,0.13610119756201441,0.10897318522851378,0.12571367046336926,"[2, 3, 4, 1, 6, 5]",0.28105755057328347,0.23595497082159592,0.19756304952690193,0.14680507191927097,0.13861935715894771
6,0.9150076381500925,0.9150076381500925,0,0.0,0.14637788347746306,0.2585739017910899,0.19938120907910287,0.13619988306190056,0.11954069931520864,0.139926423275235,"[2, 3, 1, 6, 4, 5]",0.28291065572046126,0.23868797442076536,0.195171019623332,0.1455662909312182,0.13766405930422324
7,0.950864762245916,0.950864762245916,0,0.0,0.15027761893863043,0.24408529073687615,0.1967077278229906,0.153187122297109,0.11588121414416427,0.1398610260602295,"[2, 3, 4, 1, 6, 5]",0.2802791181356233,0.23652988426358976,0.19888747573418952,0.14638822086593722,0.13791530100066013
8,0.9425024157540566,0.9425024157540566,0,0.0,0.14651049518600226,0.27099557884424297,0.21625253814287995,0.12340511314840358,0.0963260018548762,0.14651027282359524,"[2, 3, 1, 6, 4, 5]",0.27951571413442,0.23744384104842914,0.19870748942036373,0.146487591558707,0.13784536383808027
9,0.9168270605864424,0.9168270605864424,0,0.0,0.1338140788006728,0.27546202991728286,0.21752904103387943,0.1400098273146824,0.10612533410580885,0.1270596888276738,"[2, 3, 4, 1, 6, 5]",0.277880392831955,0.2395812065517767,0.19841770798404343,0.1467755606099977,0.1373451320222273
10,0.9238548658039545,0.9238548658039545,0,0.0,0.1769225178302234,0.27429229292085044,0.20048905177375667,0.09089516542393274,0.11571834544929424,0.14168262660194256,"[2, 3, 1, 6, 5, 4]",0.2806858442696951,0.23641870533102352,0.19771216800918656,0.14689201643926908,0.1382912659508258
11,0.9072239874384652,0.9072239874384652,0,0.0,0.13739551990705612,0.28655697861324597,0.21834382690063117,0.13936596359259185,0.09745984856500724,0.12087786242146782,"[2, 3, 4, 1, 6, 5]",0.2785052654833024,0.23592863619533794,0.2010895451129869,0.14677420589731419,0.13770234731105868
12,0.9181606602385228,0.9181606602385228,0,0.0,0.1319040273720973,0.30630245624390057,0.20717587919030167,0.15281358273564824,0.08674994335098239,0.1150541111070699,"[2, 3, 4, 1, 6, 5]",0.2784011461717853,0.23947507151725966,0.19943544849159467,0.1460217412364514,0.13666659258290897
13,0.9376150019180126,0.9376150019180126,0,0.0,0.12560704026668784,0.2512961693996797,0.21295292478749442,0.14273218714259203,0.1031906567126348,0.16422102169091132,"[2, 3, 6, 4, 1, 5]",0.28084818809049844,0.2386332417143077,0.19723504155526334,0.1455803470280359,0.13770318161189476
14,0.927967448630329,0.927967448630329,0,0.0,0.13491493567379223,0.2718014796912777,0.21299848012623318,0.14207620781190447,0.09613268888488784,0.14207620781190447,"[2, 3, 4, 6, 1, 5]",0.27967947578005964,0.23607683247811437,0.20036850121348795,0.14631193886038787,0.13756325166795008
15,0.911266197208919,0.911266197208919,0,0.0,0.12999849388115414,0.28433796561193636,0.21666206393567808,0.14072194191444345,0.10769421237057596,0.12058532228621212,"[2, 3, 4, 1, 6, 5]",0.2798552949826126,0.2363671580649771,0.19854860276338573,0.14718132995822847,0.13804761423079612
16,0.9419474660393137,0.9419474660393137,0,0.0,0.1536746634868058,0.27754837937084514,0.19742410782102304,0.11877156731983239,0.09958381595612639,0.15299746604536718,"[2, 3, 1, 6, 4, 5]",0.27997450555570497,0.23597625017712925,0.19911680890908584,0.14675883314642876,0.13817360221165112
